개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,점포구분명,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,2004300007607500017,2004-06-30,,영업/정상,,,,,,,,동대문신발도매상가,그 밖의 대규모점포,I,2026-05-06 22:48:27,,정상영업,1,01,0236760177,,,,서울특별시 종로구 창신동 436번지 79  호   ,2007-07-21 10:27:56
3000000,2004300007607500018,2004-12-10,,영업/정상,,,,,11750,,03198,동대문종합시장D동상가,그 밖의 대규모점포,I,2026-05-06 22:48:27,"서울특별시 종로구 종로 266, 동대문종합시장D동상가  동 (종로6가)",정상영업,1,01,0222798751,대규모점포,200579.409754868    ,452035.347658612    ,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,2025-09-03 09:58:23
3000000,2004300012907500001,1992-07-04,,영업/정상,,,,,6906.53,110-752,,(주)영풍문고,전문점,I,2026-05-06 22:48:27,서울특별시 종로구 청계천로 41 (서린동),정상영업,1,01,025192800,대규모점포,198351.818737482    ,451921.60302604     ,서울특별시 종로구 서린동 33번지 영풍빌딩,2022-04-25 14:14:33
3000000,2005300007607500001,2005-01-27,,영업/정상,,,,,,,,종로세운상가,대형마트,I,2026-05-06 22:48:28,,정상영업,1,01,0222785356,,,,   호   ,2007-07-21 10:27:56
3000000,2005300007607500002,2005-02-18,,휴업,,,,,6638,,,종로세운상가,그 밖의 대규모점포,I,2026-05-06 22:48:28,,휴업처리,2,02,22785356,,,,서울특별시 종로구 종로3가 175번지 4호   ,2007-07-21 10:27:56
3000000,2007300010107500001,2007-07-04,,영업/정상,,,,,9370.53,,03130,효성주얼리시티,그 밖의 대규모점포,I,2026-05-06 22:48:28,"서울특별시 종로구 종로 183 (인의동, 효성주얼리시티)",정상영업,1,01,027435390,대규모점포,199812.609633255    ,452132.648343993    ,서울특별시 종로구 인의동 48번지 2호,2021-05-02 13:31:32
3000000,2007300012907500001,2007-09-07,,영업/정상,,,,,3393.77,,03095,브라운스톤 창신상가,그 밖의 대규모점포,I,2026-05-06 22:48:28,"서울특별시 종로구 지봉로 81 (창신동, 브라운스톤 창신)",정상영업,1,01,,준대규모점포,201258.062657124    ,452787.132831042    ,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,2019-01-31 14:46:28
3000000,2010300012907500001,2010-02-18,,영업/정상,,,,,8390.2,110-410,,세운스퀘어,그 밖의 대규모점포,I,2026-05-06 22:48:29,서울특별시 종로구 창경궁로 109 (인의동),정상영업,1,01,34130276,대규모점포,199670.979884558    ,452221.775006084    ,서울특별시 종로구 인의동 112번지 2호,2024-10-14 10:32:03
3000000,2011300012907500001,2011-08-16,,영업/정상,,,,,273.3,110-876,,홈플러스(주)익스프레스 숭인점,구분없음,I,2026-05-06 22:48:29,서울특별시 종로구 종로 347 (숭인동),정상영업,1,01,027438546,준대규모점포,201359.53353905     ,452395.659064842    ,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,2024-04-01 18:07:37
3000000,2011300012907500003,2011-12-20,,영업/정상,,,,,432.9,110-061,,홈플러스(주)익스프레스 광화문점,복합쇼핑몰,I,2026-05-06 22:48:29,"서울특별시  새문안로 91, 1층 (고려빌딩)",정상영업,1,01,027379994,준대규모점포,197700.034013631    ,452022.503467072    ,서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,2024-04-01 18:06:58
3000000,2012300012907500001,1955-07-05,,영업/정상,,,,,16128.75,110-440,,광장시장,복합쇼핑몰,I,2026-05-06 22:48:29,서울특별시 종로구 창경궁로 88 (예지동),정상영업,1,01,22670291,대규모점포,199837.41426735     ,451974.128468485    ,서울특별시 종로구 예지동 6번지 1호,2020-10-04 14:50:40
3000000,2014300016907500001,1987-10-30,,영업/정상,,,,,3660,,,동문시장,시장,I,2026-05-06 22:48:29,서울특별시 종로구 종로44길 14 (창신동),정상영업,1,01,027644766,대규모점포,200936.42910264     ,452017.94363587     ,,2021-02-03 07:59:28
3000000,2019300020207500001,2019-09-17,,영업/정상,,,,,25198.02,,03140,낙원상가,그 밖의 대규모점포,I,2026-05-06 22:48:29,"서울특별시 종로구 삼일대로 428, 낙원상가 506호 (낙원동)",정상영업,1,01,024304200,대규모점포,198838.912965902    ,452214.210961577    ,서울특별시 종로구 낙원동 288번지 낙원상가,2019-09-25 15:06:02
3000000,2019300020207500002,2019-09-17,,영업/정상,,,,,25198.02,,03140,낙원상가,그 밖의 대규모점포,I,2026-05-06 22:48:29,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",정상영업,1,01,027436133,대규모점포,198838.912965902    ,452214.210961577    ,서울특별시 종로구 낙원동 288번지 낙원상가,2019-09-25 15:05:06
3000000,2020300020207500001,1971-03-25,,영업/정상,,,,1971-03-25,1313,,03117,신설종합시장,시장,I,2026-05-06 22:48:29,"서울특별시 종로구 난계로27길 51, 신설종합시장 숭인동 (숭인동)",정상영업,1,01,,대규모점포,201727.670840565    ,452264.420237876    ,서울특별시 종로구 숭인동 206-9 신설종합시장 숭인동,2020-07-22 14:14:39
3000000,2021300020207500001,1987-10-30,,영업/정상,,,,,1313,,03117,신설종합시장(주),그 밖의 대규모점포,I,2026-05-06 22:48:29,"서울특별시 종로구 난계로27길 51, 신설종합시장 (숭인동)",정상영업,1,01,22347151,대규모점포,201727.670840565    ,452264.420237876    ,서울특별시 종로구 숭인동 206-9 신설종합시장,2021-02-03 08:15:07
3000000,2011300012907500002,2011-10-07,,폐업,2014-09-01,,,,7486,110-150,,중학아케이드,그 밖의 대규모점포,I,2026-05-06 22:48:29,,폐업처리,3,03,,대규모점포,,,서울특별시 종로구 중학동 62번지 외 66필지,2014-09-15 15:23:18
3010000,1970301013007500001,1970-01-29,,영업/정상,,,,,15144,,04563,통일상가,그 밖의 대규모점포,I,2026-03-26 22:48:21,"서울특별시 중구 청계천로 260-9 (을지로6가, 통일의류종합상가)",정상영업,1,01,0222691967,대규모점포,200530.360089273    ,451852.149537542    ,,2024-04-03 17:07:49
3010000,1971301007107500021,1971-12-30,,영업/정상,,,,,10269.89,,,진양상가,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 퇴계로 217 (충무로4가),정상영업,1,01,0222699891,대규모점포,199571.599470393    ,451124.851387624    ,서울특별시 중구 충무로4가 120번지 3   호,2016-04-10 15:47:35
3010000,1977301013007500022,1977-06-23,,영업/정상,,,,,9578,,,상제리제상가,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 삼일대로 363 (장교동),정상영업,1,01,027784611,대규모점포,198744.433228989    ,451677.065126229    ,,2020-04-30 16:07:24
3010000,1980301007107500001,1980-10-16,,영업/정상,,,,,4203.03,,,(주)에리어식스,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 마장로 19 (신당동),정상영업,1,01,0222384914,대규모점포,200989.686611204    ,451762.261508835    ,서울특별시 중구 신당동 776호,2015-01-30 15:14:43
3010000,1994301010007500001,2009-09-08,,영업/정상,,,,,4097.54,100-430,,우일타운,전문점,I,2026-03-26 22:48:21,서울특별시 중구 다산로 274 (흥인동),정상영업,1,01,22368027,대규모점포,201390.623455546    ,451682.924382048    ,서울특별시 중구 흥인동 3번지 4호,2016-04-20 17:57:02
3010000,2002301007107500000,2000-05-30,2019-06-14,취소/말소/만료/정지/중지,,,,,12619,,04536,밀리오레명동,그 밖의 대규모점포,I,2026-03-26 22:48:21,"서울특별시 중구 퇴계로 115 (충무로1가, 밀레오레 명동)",직권취소,4,04,0221241510,대규모점포,198562.632745775    ,450975.116406048    ,서울특별시 중구 충무로1가 24번지 1호,2019-06-14 11:19:21
3010000,2002301007107500004,1979-04-20,,영업/정상,,,,,6775.3,,,남평화상가(주),그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 장충단로 282-10 (신당동),정상영업,1,01,22370620,대규모점포,200894.478544376    ,451877.080833985    ,서울특별시 중구 신당동 772호,2022-05-06 17:03:30
3010000,2002301007107500005,1980-12-20,,영업/정상,,,,,6020.32,,,숭례문상가,그 밖의 대규모점포,I,2026-03-26 22:48:21,,정상영업,1,01,34553721,대규모점포,197831.002724157    ,450794.31483169     ,서울특별시 중구 남창동 51번지 1호,2016-04-10 17:13:12
3010000,2002301007107500006,1978-12-22,,영업/정상,,,,,7676.86,,04533,호텔롯데아케이드,그 밖의 대규모점포,I,2026-03-26 22:48:21,"서울특별시 중구 을지로 30 (소공동, 롯데호텔)",정상영업,1,01,027596550,대규모점포,198259.65357739     ,451392.198218657    ,서울특별시 중구 소공동 1번지,2023-12-06 13:50:49
3010000,2002301007107500007,2002-06-12,,영업/정상,,,,,9067.72,,,에이피엠패션몰,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 마장로 40 (신당동),정상영업,1,01,0222502002,대규모점포,201031.479363871    ,451759.262402974    ,서울특별시 중구 신당동 193번지 3호,2021-05-11 10:16:57
3010000,2002301007107500008,1962-11-02,,영업/정상,,,,,14330,,04576,서울중앙시장,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 퇴계로85길 22 (황학동),정상영업,1,01,,대규모점포,201680.067548359    ,451610.962163829    ,,2020-01-14 16:58:16
3010000,1985301013007500003,1985-11-09,,폐업,2015-08-27,,,,0,,,(주)심풍유통,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 마른내로 140 (쌍림동),폐업처리,3,03,0222739909,대규모점포,200247.445072989    ,451352.512042888    ,,2015-08-27 14:10:35
3010000,1996301013007500001,1996-08-31,,폐업,2015-08-27,,,,75439.97,,,케레스타,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 남대문로 84 (남대문로2가),폐업처리,3,03,0220484800,대규모점포,198401.701305913    ,451374.312212737    ,,2015-08-27 09:23:01
3010000,1997301013007500004,1997-08-22,,폐업,2015-08-27,,,,0,,,대한통운마트,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 세종대로9길 58-12 (서소문동),폐업처리,3,03,0237820114,대규모점포,,,,2015-08-27 14:08:44
3010000,2002301013007500001,2002-02-01,,폐업,2015-08-27,,,,18414.89,,,아바타,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 명동길 14 (명동2가),폐업처리,3,03,0237835055,대규모점포,198418.741655644    ,451237.168596152    ,,2015-08-27 14:06:32
3010000,2002301013007500002,2002-02-01,,폐업,2015-08-27,,,,6274.38,,,서소문화훼종합물류센터,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 칠패로 5 (의주로2가),폐업처리,3,03,023641277,대규모점포,197222.297956737    ,450920.003506418    ,,2015-08-27 14:07:38
3010000,2002301013007500006,2002-03-28,,폐업,2015-08-27,,,,1210.07,,,호텔신라아케이트,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 동호로 249 (장충동2가),폐업처리,3,03,0222303222,대규모점포,200463.625303538    ,450497.460903907    ,,2015-08-27 14:07:02
3010000,2006301013007500005,2006-08-07,,폐업,2015-08-27,,,,10395.41,,,메사,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 남대문시장10길 2 (회현동1가),폐업처리,3,03,0221285067,대규모점포,198129.435542814    ,450900.239718295    ,,2015-08-27 14:05:53
3010000,200730101300751,1971-05-18,,폐업,2015-08-27,,,,754,,,합동시장,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 서소문로6길 34 (중림동),폐업처리,3,03,023925786,대규모점포,197037.368787577    ,450812.939747734    ,,2015-08-27 09:13:32
3010000,2010301010007500002,2000-08-21,,폐업,2025-02-14,,,,12585.13,100-881,,신세계백화점메사점,쇼핑센터,I,2026-03-26 22:48:22,"서울특별시 중구 남대문시장10길 2 (회현동1가,메사빌딩)",폐업처리,3,03,027271471,대규모점포,198129.435542814    ,450900.239718295    ,서울특별시 중구 회현동1가 204번지 메사빌딩,2025-02-18 17:22:14
3010000,2011301010007500002,2011-10-07,,폐업,2024-08-04,,,,648.4,,04597,롯데쇼핑(주)롯데슈퍼신당점,구분없음,I,2026-03-26 22:48:22,"서울특별시 중구 다산로 56, 제지2층 제비203호 (신당동, 남산정은스카이아파트)",폐업처리,3,03,0222905853,준대규모점포,200618.474033157    ,449687.143213423    ,,2024-08-14 17:31:38
3010000,2011301010007500003,2011-10-06,,폐업,2023-04-20,2015-05-30,2015-08-14,,107.8,100-011,,롯데쇼핑(주)롯데슈퍼명동점,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 명동8나길 47 (충무로1가),폐업처리,3,03,027785603,준대규모점포,198364.631775078    ,450975.950410804    ,서울특별시 중구 충무로1가 25번지 8호,2023-04-24 13:05:24
3010000,2014301013007500019,2008-07-04,,폐업,2015-08-27,,,,15861,,,신세계 이마트 청계천점,그 밖의 대규모점포,I,2026-03-26 22:48:23,서울특별시 중구 청계천로 400 (황학동),폐업처리,3,03,0222901052,대규모점포,201823.908977364    ,452076.818664092    ,,2015-08-27 09:19:02
3010000,2002301007107500009,2002-07-22,,영업/정상,,,,,13941.72,100-951,,헬로우에이피엠,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 장충단로 253 (을지로6가),정상영업,1,01,63881100,대규모점포,200649.776732085    ,451689.785216541    ,서울특별시 중구 을지로6가 18번지 35호,2014-11-27 09:28:34
3010000,2004301007107500001,2004-06-01,,영업/정상,,,,,11090.62,,,롯데쇼핑(주)롯데마트 제타플렉스 서울역점,대형마트,I,2026-03-26 22:48:21,서울특별시 중구 청파로 426 (봉래동2가),정상영업,1,01,023902521,대규모점포,197242.994816102    ,450658.947895548    ,서울특별시 중구 봉래동2가 122호,2026-01-14 09:39:36
3010000,2005301007107500001,1983-06-03,,영업/정상,,,,,12192.28,100-451,,청평화시장,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 청계천로 334 (신당동),정상영업,1,01,0222328082,대규모점포,201250.876993355    ,451908.773811626    ,서울특별시 중구 신당1동 217번지 91호,2024-04-01 09:12:19
3010000,2005301007107500002,1973-10-30,,휴업,,2026-03-31,2027-03-31,2027-04-01,13877.55,,,롯데쇼핑본점영플라자,백화점,U,2026-04-24 03:03:03,서울특별시 중구 남대문로 67 (남대문로2가),휴업처리,2,02,027712500,대규모점포,198315.532747026    ,451248.141599825    ,서울특별시 중구 남대문로2가 123호,2026-04-23 08:37:27
3010000,2006301007107500001,2006-04-14,,영업/정상,,,,,18815.13,,,디오트,그 밖의 대규모점포,I,2026-03-26 22:48:21,서울특별시 중구 다산로 293 (신당동),정상영업,1,01,0222320040,대규모점포,201236.031514508    ,451872.409388295    ,서울특별시 중구 신당동 193번지 2 호,2022-08-05 13:57:43
3010000,2006301007107500002,2006-04-21,2016-12-19,취소/말소/만료/정지/중지,,,,,13006.43,100-889,,패션몰 유어스,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 마장로 22 (신당동),직권취소,4,04,0222502002,대규모점포,200999.356221857    ,451654.418167327    ,서울특별시 중구 신당동 22번지,2017-03-23 13:37:14
3010000,2006301007107500003,2006-06-07,,휴업,,,,,9782.03,,,라모도 쇼핑몰,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 을지로 276 (을지로7가),휴업처리,2,02,0222005000,,200673.011457453    ,451443.279894262    ,서울특별시 중구 을지로7가 105호   ,2007-07-07 11:22:15
3010000,2008301010007500002,2008-06-26,,영업/정상,,,,,20144.48,100-899,,주식회사 이마트 청계천점,대형마트,I,2026-03-26 22:48:22,서울특별시 중구 청계천로 400-0 (황학동),정상영업,1,01,0222901234,대규모점포,201823.908977364    ,452076.818664092    ,서울특별시 중구 황학동 2545번지,2024-11-19 09:48:29
3010000,2008301010007500003,2008-07-18,,영업/정상,,,,,27653.82,100-440,,베네치아메가몰,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 청계천로 400 (황학동),정상영업,1,01,0220488231,대규모점포,201823.908977364    ,452076.818664092    ,서울특별시 중구 황학동 2545번지,2017-08-03 13:28:26
3010000,2008301010007500004,2008-08-27,,영업/정상,,,,,5835.93,,04536,엠플라자(M plaza),쇼핑센터,I,2026-03-26 22:48:22,"서울특별시 중구 명동8길 27 (명동2가, 엠 플라자)",정상영업,1,01,023188322,대규모점포,198619.38819773     ,451135.740279961    ,서울특별시 중구 명동2가 31번지 1호,2016-07-04 14:41:05
3010000,2008301010007500005,2008-09-16,,영업/정상,,,,,40302.01,100-729,,굿모닝시티 쇼핑몰,쇼핑센터,I,2026-03-26 22:48:22,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티쇼핑몰)",정상영업,1,01,0221188700,대규모점포,200573.641273539    ,451621.036467544    ,서울특별시 중구 을지로6가 18번지 21호 굿모닝시티쇼핑몰,2025-10-31 17:54:29
3010000,2009301010007500001,1962-02-23,,영업/정상,,,,1962-02-23,24483.79,100-726,,평화시장,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구  청계천로  274 (을지로6가),정상영업,1,01,0222653531,대규모점포,200644.673810142    ,451908.700024524    ,서울특별시 중구 을지로6가 17번지 48호,2024-11-19 09:50:32
3010000,2009301010007500003,2002-01-15,,영업/정상,,,,,21481.63,100-810,,눈스퀘어,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 명동길 14 (명동2가),정상영업,1,01,37835204,대규모점포,198418.741655644    ,451237.168596152    ,서울특별시 중구 명동2가 83번지 5호,2026-03-09 14:59:59
3010000,2009301010007500005,1972-09-18,,영업/정상,,,,,10041.58,100-194,,대림상가,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 을지로 157 (을지로4가),정상영업,1,01,22785191,대규모점포,199534.329650967    ,451608.222852119    ,서울특별시 중구 을지로4가 9번지 6호,2018-04-25 13:02:52
3010000,2010301010007500001,1973-04-10,,영업/정상,,,,,78348.39,100-747,,신세계백화점,백화점,I,2026-03-26 22:48:22,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점건물)",정상영업,1,01,023101041,대규모점포,198263.90839194     ,450960.762964932    ,서울특별시 중구 충무로1가 52번지 5호 신세계백화점건물,2025-01-31 16:39:05
3010000,2010301010007500003,2006-10-23,,영업/정상,,,,,8119,100-451,,올레오,쇼핑센터,I,2026-03-26 22:48:22,서울특별시 중구 마장로1길 22 (신당동),정상영업,1,01,0222308200,대규모점포,201040.352596045    ,451852.142613352    ,서울특별시 중구 신당1동 213번지 8호,2023-03-10 13:30:31
3010000,2010301010007500004,2010-10-08,,영업/정상,,,,,17758.45,100-451,,맥스타일,전문점,I,2026-03-26 22:48:22,서울특별시 중구 마장로 3 (신당동),정상영업,1,01,22380981,대규모점포,200863.594130764    ,451837.481623546    ,서울특별시 중구 신당1동 773번지,2023-01-02 08:56:55
3010000,2011301010007500001,1970-01-29,,영업/정상,,,,,15144,100-726,,통일상가,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 장충단로13길 20 (을지로6가),정상영업,1,01,0222691969,대규모점포,200613.510297669    ,451817.515366883    ,서울특별시 중구 을지로6가 17번지,2015-01-29 11:06:21
3010000,2012301010007500001,1981-10-27,,영업/정상,,,,1981-10-27,9629.48,,,제일평화시장,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 마장로 13 (신당동),정상영업,1,01,0222526744,대규모점포,200938.52813687     ,451798.00308625     ,,2023-05-08 10:26:01
3010000,2012301010007500002,1979-12-27,,영업/정상,,,,1997-12-27,59979.25,,,롯데백화점 본점,복합쇼핑몰,U,2026-04-17 03:03:03,서울특별시 중구 남대문로 81 (소공동),정상영업,1,01,027723871,대규모점포,198259.65357739     ,451392.198218657    ,,2026-04-16 14:32:29
3010000,2012301010007500003,2012-08-31,,영업/정상,,2024-09-06,2024-09-26,2024-09-27,17356.62,100-196,,던던 동대문점,쇼핑센터,I,2026-04-11 22:48:20,서울특별시 중구 을지로 264 (을지로6가),정상영업,1,01,0262624202,대규모점포,200548.038848161    ,451497.626572161    ,서울특별시 중구 을지로6가 21번지 31호,2026-01-21 15:31:34
3010000,2012301010007500004,2012-12-27,,영업/정상,,,,2013-01-18,11576.19,100-162,,롯데아울렛 서울역점,쇼핑센터,I,2026-03-26 22:48:22,서울특별시 중구 한강대로 405 (봉래동2가),정상영업,1,01,027262500,대규모점포,197229.761422932    ,450418.159244379    ,서울특별시 중구 봉래동2가 122번지 11호,2012-12-27 14:38:37
3010000,2012301010007500005,1999-09-01,,영업/정상,,,,2013-01-18,11576.19,100-162,,롯데아울렛 서울역점,쇼핑센터,I,2026-03-26 22:48:22,서울특별시 중구 한강대로 405 (봉래동2가),정상영업,1,01,023904015,대규모점포,197229.761422932    ,450418.159244379    ,서울특별시 중구 봉래동2가 120번지 11호,2022-02-10 09:34:02
3010000,2013301013007500001,1979-05-25,,영업/정상,,,,,13458.03,100-451,,(주)광희패션몰,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 마장로1길 21 (신당동),정상영업,1,01,0222384352,대규모점포,200982.709076616    ,451817.384038629    ,서울특별시 중구 신당1동 777번지,2022-04-28 16:57:23
3010000,2014301013007500001,2014-01-10,,영업/정상,,,,,492.56,,,(주)지에스리테일 남산타운점,구분없음,I,2026-03-26 22:48:22,서울특별시 중구 다산로 32 (신당동),정상영업,1,01,0220062156,준대규모점포,200750.455125653    ,449638.824308081    ,,2025-04-14 18:54:10
3010000,2014301013007500003,1998-08-11,,영업/정상,,,,,17736.37,100-762,,밀리오레,그 밖의 대규모점포,U,2026-04-15 03:03:03,서울특별시 중구 장충단로 263 (을지로6가),정상영업,1,01,0233931500,대규모점포,200664.582936542    ,451781.8683954      ,서울특별시 중구 을지로6가 18번지 185호,2026-04-14 20:38:49
3010000,2014301013007500004,1976-11-02,,영업/정상,,,,,9316.94,,,굳앤굳 디자이너월드,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 남대문로 30 (남창동),정상영업,1,01,0263655959,대규모점포,198095.7951961      ,450940.108370401    ,,2019-04-08 15:14:31
3010000,2014301013007500005,1968-07-30,,영업/정상,,,,,19023.64,,,동화상가,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 장충단로13길 34 (을지로6가),정상영업,1,01,22659611,대규모점포,200541.637728834    ,451814.45954577     ,,2016-03-28 15:58:37
3010000,2014301013007500006,1996-07-05,,영업/정상,,,,,21527.19,,,누죤,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 을지로45길 62 (신당동),정상영업,1,01,0263663056,대규모점포,201058.678787938    ,451656.811051215    ,,2025-02-25 09:09:08
3010000,2014301013007500007,1999-01-05,,영업/정상,,,,,15695.63,,,두타몰,그 밖의 대규모점포,I,2026-03-26 22:48:22,서울특별시 중구 장충단로 275 (을지로6가),정상영업,1,01,0233961657,대규모점포,200703.625559248    ,451836.458256618    ,,2025-04-21 13:58:36
3010000,2014301013007500008,1985-11-28,,영업/정상,,,,,13793.3,,,삼익패션타운,그 밖의 대규모점포,I,2026-03-26 22:48:23,서울특별시 중구 남대문시장8길 7 (남창동),정상영업,1,01,027567536,대규모점포,198073.063552064    ,450876.729406983    ,,2025-04-28 17:31:36
3010000,2014301013007500009,1959-02-24,,영업/정상,,,,,20707,,,중부시장,그 밖의 대규모점포,I,2026-03-26 22:48:23,서울특별시 중구 을지로36길 35 (오장동),정상영업,1,01,0222675617,대규모점포,200092.165872111    ,451408.699344817    ,,2021-08-24 18:32:28
3010000,2014301013007500010,1976-11-29,,영업/정상,,,,,18500,,,방산종합시장,그 밖의 대규모점포,I,2026-03-26 22:48:23,서울특별시 중구 동호로37길 20 (방산동),정상영업,1,01,0222686691,대규모점포,200002.952736046    ,451823.532462914    ,,2025-04-16 14:58:38
3010000,2014301013007500013,1990-06-04,,영업/정상,,,,,4448,,,아트프라자,그 밖의 대규모점포,I,2026-03-26 22:48:23,서울특별시 중구 마장로1길 28 (신당동),정상영업,1,01,0222322000,대규모점포,201070.979414952    ,451874.637536958    ,,2020-11-03 17:17:27
3010000,2014301013007500015,2000-07-07,,영업/정상,,,,,6954.85,,,남산타운5상가,그 밖의 대규모점포,I,2026-03-26 22:48:23,서울특별시 중구 다산로 32 (신당동),정상영업,1,01,0222563500,대규모점포,200750.455125653    ,449638.824308081    ,,2015-01-30 14:59:15
